품목일련번호,품목명,업소일련번호,업소명,성상,큰제품이미지,표시앞,표시뒤,의약품제형,색상앞,색상뒤,분할선앞,분할선뒤,크기장축,크기단축,크기두께,이미지생성일자(약학정보원),분류번호,분류명,전문일반구분,품목허가일자,제형코드명,표기내용앞,표기내용뒤,표기이미지앞,표기이미지뒤,표기코드앞,표기코드뒤,변경일자,사업자번호,품목영문명,보험코드,표준코드
201207517,클로린정75밀리그램(클로피도그렐황산염),19870002,(주)휴온스,분홍색의 원형 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148725962318400144,C1,HS,원형,분홍,,,,13.5,13.5,8.5,20121203,2180.0,동맥경화용제,전문의약품,20121030,필름코팅정,,,,,,,20230309.0,8638700270,Clorin Tab. 75mg (Clopidogrel bisulfate),670606340,"8806706063408,8806706063415,8806706063422"
201207579,노바스크구강붕해정5밀리그램(암로디핀베실산염),20160560,한국화이자제약(주),연한 노란색의 원형 구강붕해정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mp3yEn25CE,A5,,원형,노랑,,,,10.65,10.65,3.55,20121218,2140.0,혈압강하제,전문의약품,20121031,구강붕해정,,,,,,,,2078100406,,,"8806489022906,8806489022913"
201207580,노바스크구강붕해정10밀리그램(암로디핀베실산염),20160560,한국화이자제약(주),연한 노란색의 원형 구강붕해정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146031483550000072,A10,,원형,노랑,,,,12.75,12.75,4.55,20121218,2140.0,혈압강하제,전문의약품,20121031,구강붕해정,,,,,,,,2078100406,,,"8806489023002,8806489023019"
201207629,에스트라암로디핀정5밀리그램(암로디핀베실산염),19570001,(주)에스트라,흰색의 팔각형 나정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mxwka5v3xC,PAC,AM분할선5,팔각형,하양,,,-,8.66,6.16,3.33,20130109,2140.0,혈압강하제,전문의약품,20121102,나정,,,,,,,,1068138502,,,"8806700017308,8806700017315,8806700017322,8806700017339,8806700017346"
201208434,네오드로핀정(암로디핀베실산염),19600011,미래바이오제약(주),흰색의 팔각형 정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148829657920500052,NE분할선5,마크,팔각형,하양,,-,,8.7,6.3,3.2,20130208,2140.0,혈압강하제,전문의약품,20121116,나정,,"mR,m,w,ω,mr,nR",,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938650963600067,,r0212,20240830.0,1258139744,Neodropine Tab.,657502450,"8806575024500,8806575024517,8806575024524"
201208463,노보틴서방정(메트포르민염산염),19590006,오스틴제약(주),흰색의 장방형 정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426639351800055,WK,MF,타원형,하양,,,,19,9.2,6.4,20130405,3960.0,당뇨병용제,전문의약품,20121119,서방정,,,,,,,20230721.0,1248117301,Novotin SR Tab.(Metformin HCl),,"8806543045803,8806543045810,8806543045827,8806543045834"
201208518,멜로디핀에스정(에스암로디핀베실산염2.5수화물),19600016,(주)유영제약,분할선이 새겨진 엷은 황색의 하트 모양의 정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426639351800111,분할선,마크,기타,노랑,,-,,6.3,6.25,3,20130122,2140.0,혈압강하제,전문의약품,20121121,나정,,Y,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938654295200058,,r0316,20260205.0,3018109728,Melodipine S Tab.,648203590,"8806482035903,8806482035910,8806482035927"
201206759,록소리스정(록소프로펜나트륨수화물),19550015,(주)동구바이오제약,흰색의 원형 정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146032412701800038,DC분할선LX,,원형,하양,,-,,8.8,8.8,3,20121122,1140.0,해열.진통.소염제,전문의약품,20120912,나정,,,,,,,20240108.0,1248533615,Loxoless Tab.,657305840,"8806573058408,8806573058415,8806573058422"
201206760,록프로펜정(록소프로펜나트륨수화물),19560016,제이더블유신약(주),흰색의 원형 정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146032089035200072,마크분할선LS,,원형,하양,,-,,8.83,8.83,2.85,20121016,1140.0,해열.진통.소염제,전문의약품,20120912,나정,"js,j5",,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938661567700103,,r0430,,20240809.0,3128102332,LOXPROFEN Tab. (Loxoprofen Sodium Hydrate),644102220,"8806441022203,8806441022210,8806441022227,8806441022234"
201206761,글루파민서방정500밀리그램(메트포르민염산염),19560005,아주약품(주),흰색의 장방형 정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146032564528800007,ΛJU,GFT,타원형,하양,,,,19,9.2,4.5,20121121,3960.0,당뇨병용제,전문의약품,20120912,서방정,,,,,,,20230721.0,8028803696,GLUFAMIN ER TAB 500MG,654004070,"8806540040702,8806540040719,8806540040726"
201206849,노바크정5밀리그램(암로디핀베실산염),19630009,영풍제약(주),흰색의 팔각형 정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146032493107200144,NV분할선5,YPP,팔각형,하양,,-,,8.7,6.2,3.5,20121126,2140.0,혈압강하제,전문의약품,20120919,나정,,,,,,,20240830.0,1398102509,NobacTab.5mg(Amlodipinebesylate),661904100,"8806619041005,8806619041012,8806619041029,8806619041036"
